Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars)
"Cumberland County, North Carolina",127532,812,8.4,0.6,5.7,0.5,10.8,0.6,11.7,0.6,15,0.7,19.3,0.8,12,0.7,11,0.6,3.5,0.3,2.6,0.3,48177,975,62751,1210
"Currituck County, North Carolina",10868,287,3.7,1.6,2.3,0.9,7,1.7,7.6,2.3,9.8,2.1,20.3,2.7,17.1,3.4,19,2.9,7.7,2.3,5.5,1.6,73741,6731,86665,4602
"Dare County, North Carolina",15830,678,3.2,0.9,2.9,1.1,6.5,1.2,9.5,1.6,14.2,2.1,21.6,2,14,2.2,17.1,2,5.1,1.1,5.8,1,65420,3161,84341,3889
"Davidson County, North Carolina",67555,755,6.5,0.8,4.9,0.8,11.6,1,11.6,1,15,1.2,19.1,1.1,12.9,1.1,11.5,0.9,4.3,0.7,2.7,0.5,50454,1401,65326,1638
"Davie County, North Carolina",16303,383,3.9,1.3,4.3,1.2,8.1,1.3,8.7,1.8,14.9,2.6,19.7,2.9,13.4,2.3,16.9,2.1,5.5,1.5,4.6,1.3,62028,3252,80337,4881
"Duplin County, North Carolina",21437,453,6.4,1.4,7.9,1.4,11.1,1.7,14.9,2.2,15.4,2,20.3,2,9.7,1.6,10.6,1.8,2.7,0.8,1.1,0.5,43422,1431,55210,2107
"Durham County, North Carolina",130128,967,5.9,0.6,3.6,0.4,7.5,0.6,9.9,0.6,13,0.9,17.4,1.1,12.6,0.9,15.4,0.8,7.1,0.6,7.7,0.7,62812,1502,87726,1982
"Edgecombe County, North Carolina",20800,489,11.4,2,7.6,1.3,12,1.6,13.1,2,16.2,2.1,14.6,1.6,11.1,1.7,11,1.8,1.9,0.7,1,0.3,40489,1490,53255,2269
"Forsyth County, North Carolina",148890,1166,7.3,0.5,5,0.5,10,0.6,10.5,0.8,14.1,0.8,17.6,0.8,12.4,0.7,12.6,0.6,5.1,0.4,5.3,0.4,53583,1197,77370,1454
"Franklin County, North Carolina",25729,537,4.8,1.2,3.9,0.9,12.2,1.8,8.6,1.2,13.9,1.7,18.7,2.1,15,1.8,15.2,1.8,4.2,1,3.5,1.3,58172,2797,71250,3400
"Gaston County, North Carolina",85286,753,6.1,0.6,5.2,0.5,11.5,0.9,11,0.8,13.2,0.8,18.5,0.9,12.5,0.8,13.3,0.7,5.2,0.6,3.4,0.4,53474,1199,71579,2040
"Gates County, North Carolina",4690,194,5.2,2.5,6.2,3,10.8,3.3,10.2,2.8,20.1,4.8,19.2,4,10.4,3,12.2,3.4,3.6,1.8,1.9,1.2,45871,6335,61935,4981
"Graham County, North Carolina",3521,214,9.3,3.6,8.2,3.3,11.4,3.4,12.3,3.7,18.1,3.9,18.3,4.2,8.1,2.9,10.4,4,1.9,1.8,2,1.3,42207,6008,53202,5793
"Granville County, North Carolina",21567,524,5,1.2,6.5,1.5,8.5,1.5,8.9,1.5,14.4,1.9,18.3,2.3,13.4,1.7,15.6,2.1,5.4,1.3,4.1,0.9,56924,3607,73898,3072
"Greene County, North Carolina",7218,272,6.8,2.2,8.5,2.2,15,2.9,9.4,2.3,16.4,3.2,19.2,3.6,13,2.7,9.4,2.2,1.2,0.7,1,0.6,43563,3514,53957,3595
"Guilford County, North Carolina",208234,1253,6.6,0.6,4.8,0.4,10.1,0.6,10.7,0.6,13.9,0.7,17.1,0.6,12.3,0.7,13.6,0.6,5.1,0.3,5.8,0.4,54794,1163,78738,1545
"Halifax County, North Carolina",21061,443,12.8,1.6,10.2,1.7,13.8,1.8,12.2,1.9,14.5,2.1,16,2,8.6,1.5,7,1.2,3.2,0.9,1.7,0.5,35904,2248,51588,2516
"Harnett County, North Carolina",46525,570,7.3,0.9,5.2,0.8,10.1,1,9.2,1,13.5,1.2,19.8,1.3,14.6,1.3,13.7,1.2,3.6,0.6,3,0.6,54565,1835,66679,1503
"Haywood County, North Carolina",26891,563,5.5,1.1,5.2,1.3,13.6,1.6,11.5,1.6,12.6,1.5,18.9,1.7,13.3,1.4,12.1,1.3,3.4,0.6,3.9,1.1,51548,2232,67101,2823
"Henderson County, North Carolina",49715,645,4.6,0.7,4.4,0.8,9.4,1.1,10.6,1.1,13.6,1.2,19.4,1.4,14.6,1.2,14.5,1.3,4.4,0.8,4.4,0.6,58928,2699,74949,2183
"Hertford County, North Carolina",8903,275,7.4,1.3,9.6,1.9,12.2,2.2,11.9,1.9,19.2,2.9,17.2,2.3,11.2,1.7,8.8,1.8,1,0.5,1.6,0.6,42588,1869,54645,3474
"Hoke County, North Carolina",18448,341,9.8,1.4,6.8,1.5,8.2,1.5,10.8,1.8,13.3,1.9,19.5,2.5,11.6,1.9,12.1,1.9,5.5,1.4,2.6,0.9,51140,2656,65434,3416
"Hyde County, North Carolina",2056,178,8,4,3.5,3,19.7,8.4,10.8,5.7,11.3,5.6,24.3,8.5,18,6.7,4.4,4.1,0,1.9,0,1.9,46667,13994,48742,6171
"Iredell County, North Carolina",68374,590,4.3,0.6,3.7,0.6,8.1,0.8,9.3,0.8,14,1.2,19.6,1.1,13,1,14.3,0.9,6.4,0.6,7.5,0.7,62551,1817,89307,2786
"Jackson County, North Carolina",17008,745,7.5,1.7,7.1,1.6,10.7,1.8,12.4,2.5,15.8,2.2,19.7,2.8,11.3,1.9,9.9,2,1.9,0.6,3.7,1.2,46820,2763,62620,3859
"Johnston County, North Carolina",71332,722,4.7,0.8,5.1,0.9,8.4,0.9,9.4,1,12.3,1.1,18.5,1.4,13.1,1.1,19.2,1.6,4.5,0.6,4.7,0.8,61806,1537,79379,3479
"Jones County, North Carolina",4069,165,9.3,3.2,10,2.7,17.8,3.9,9.8,2.3,11,2.6,16.8,3.7,13.1,3.9,9.4,2.6,2,1.2,0.8,0.6,38324,6319,51211,4708
"Lee County, North Carolina",22290,392,6.8,1.2,4.5,1,10.6,1.7,10.6,1.6,14.9,1.7,21.3,2.6,11.8,1.3,11.5,1.6,4.7,1,3.3,0.8,52294,2710,67740,2925
"Lenoir County, North Carolina",23494,565,7.5,1.2,10.5,1.8,12.6,1.9,13,1.9,15.7,1.8,17.3,1.8,9.6,1.7,9.3,1.4,2.5,0.7,2,0.8,39923,1963,56328,3534
"Lincoln County, North Carolina",33621,439,4.8,1.1,5.6,1.3,9.4,1.2,9.4,1.3,13.2,1.6,18.5,1.7,12.8,1.4,12.9,1.5,6.2,1,7.2,1,59592,3319,82204,3769
"McDowell County, North Carolina",18275,399,5.9,1.2,5,1.4,10.4,1.8,14.1,2.3,17.8,2.3,19.3,2.5,12.3,1.8,9.4,1.7,3.8,1.2,1.8,0.7,47085,3260,61873,3460
"Macon County, North Carolina",16062,494,8.9,2.6,6.9,1.3,12,1.9,11.2,1.6,13.7,2.2,21.1,2.4,9.2,1.7,11,1.7,2.1,0.9,3.8,1.4,45703,4197,64052,4735
"Madison County, North Carolina",8373,278,8.3,2.2,6.2,1.8,13.5,2.8,10.8,2.3,14,2.8,16,1.9,11.8,2.3,10.7,2.2,5.4,1.7,3.2,1.2,46190,4613,65615,5754
"Martin County, North Carolina",9622,329,8.8,2.1,8.1,1.8,13.3,2.7,14,2.6,15.4,2.6,19.3,3,12,2.6,4.9,1.1,2.3,1.2,1.9,1.1,39909,3248,55238,5437
"Mecklenburg County, North Carolina",421950,1719,4.5,0.3,3.3,0.2,6.8,0.3,8.4,0.3,12.7,0.5,17.8,0.5,12.9,0.5,15.9,0.5,7.3,0.3,10.5,0.4,69240,1176,101506,1587
"Mitchell County, North Carolina",6402,311,8,2.2,6.1,2.1,10.4,2.1,11.3,2.6,15.4,3.5,21.7,3.5,11.3,2.5,12.1,2.7,1.9,1.2,1.9,1.3,48841,4296,62326,6641
"Montgomery County, North Carolina",10265,472,7.9,1.9,6.7,1.8,11.8,2.5,10.6,2.2,17,3,22,3.2,12,2.5,7.4,1.7,1.9,0.7,2.7,1.1,45147,5118,60648,5376
"Moore County, North Carolina",40575,749,4.7,0.9,4.5,0.8,8.7,1,9.2,1.2,12.1,1.4,17.2,1.5,15.2,1.7,15.7,1.3,5.1,0.7,7.5,1,63324,3507,86394,3676
"Nash County, North Carolina",37371,621,6.8,1.3,6.9,1.1,10.8,1.5,10,1.4,15.5,1.4,20.3,1.9,10.2,1.3,11.5,1.3,4.2,1,3.7,0.7,49949,2177,67630,3200
"New Hanover County, North Carolina",97998,957,7.6,0.9,4.3,0.6,10.1,1.1,8.9,0.7,13.3,1.3,17.7,1.1,11.7,0.9,13.6,1,5.6,0.6,7.1,0.6,56689,1980,83395,2181
"Northampton County, North Carolina",8424,300,9.6,2,10,2.4,13.6,2.9,11.6,2.4,17.8,3.6,17,3.2,8.3,1.9,8.7,1.8,0.8,0.5,2.6,1,38969,2388,53296,4070
"Onslow County, North Carolina",66131,1220,6.2,1.1,4.3,1.1,8.6,1.3,11.6,1.3,17.5,2,20.1,1.5,14.5,1.7,12.2,1.1,3.2,0.6,1.9,0.5,51560,1807,64456,2135
"Orange County, North Carolina",53222,741,6.8,0.8,3.4,0.8,6,0.8,7.1,0.8,11,0.9,15.9,1.3,11.8,1.3,14.8,1.1,8.2,1,15.1,1.1,74803,2372,114769,4935
"Pamlico County, North Carolina",5506,227,8,2,8.2,2.6,13,2.6,9.2,3,13.1,2.4,17.1,3.1,11.8,2.7,12.8,2.8,3.7,1.3,3.2,1.2,48531,3791,66622,5837
"Pasquotank County, North Carolina",14785,412,7,1.5,5,1,10.7,2,9.7,1.8,13,1.9,19.2,2.7,13.8,2,13.6,2.2,5.6,2,2.4,0.9,54439,3369,69044,4384
"Pender County, North Carolina",22812,485,6,1.2,5.3,1.4,8.3,1.3,10.1,1.6,10.9,1.4,19.3,2.2,14.6,1.6,15.1,1.7,5,1,5.3,1,60044,2197,79529,3562
"Perquimans County, North Carolina",5886,268,6.3,2.1,5.8,2.3,12.1,2.8,9.1,2.4,14.7,3.2,16.6,3.4,15.8,3.6,14.5,3.3,2.4,1.3,2.7,1.3,51036,2371,65332,4043
"Person County, North Carolina",16153,434,6.8,1.6,4.5,1.2,10.9,2.1,9.3,2,13,2,18.5,2.9,14.9,2.3,14.3,2.2,4.6,1.6,3.2,1.3,57323,5287,73667,5935
"Pitt County, North Carolina",70683,947,9.4,1.1,5.6,0.8,9.6,1,10.8,1.2,15.1,1.4,17.8,1.4,11.6,1.1,12.5,1.1,4,0.6,3.7,0.6,49337,2248,68434,2419
"Polk County, North Carolina",9252,289,4.9,1.8,4.5,1.4,10.1,2,11.8,2.3,17.6,2.4,20.1,2.8,10.6,1.9,12,2.5,4.4,1.2,4,1.1,52125,5009,71585,5695
"Randolph County, North Carolina",56790,603,6.4,1,5.4,0.8,11.8,1.1,11.7,1.1,15.9,1.4,19.9,1.5,12.5,1.1,11.2,1.2,3.5,0.6,1.8,0.4,48984,1524,62117,1883
"Richmond County, North Carolina",18201,522,11.2,2,8.9,1.9,14.5,2,12,2.1,13.4,2.1,17.1,2.5,10.2,2.3,9.9,1.9,1.6,0.7,1.2,0.5,39051,3156,52164,3015
"Robeson County, North Carolina",45881,424,13.1,0.8,9,0.9,14.4,1,13.3,1,13.3,0.8,15.6,1.1,9.9,0.8,7.9,0.8,2.2,0.4,1.5,0.3,35362,1375,51637,2659
"Rockingham County, North Carolina",38532,555,8,1.1,7.6,1.3,10.5,1,11.8,1.2,16.2,1.7,18.7,1.4,11.5,1.2,11,1.3,3,0.6,1.7,0.4,45697,1593,59308,2311
"Rowan County, North Carolina",54137,744,6.3,0.9,5.7,1.1,11.7,1.2,10.6,1.1,14.4,1.1,19.5,1.4,12.9,1.2,11.2,1,4.3,0.8,3.5,0.7,51054,1487,67690,2645
"Rutherford County, North Carolina",27525,578,8,1.8,7.4,1.3,14.8,1.5,11.4,1.8,16.3,1.9,18.5,2.1,10.4,1.5,7.9,1.4,1.8,0.5,3.4,0.8,43183,1753,57997,2733
"Sampson County, North Carolina",23162,603,8.6,1.6,5.4,1.1,14.1,1.9,12.3,1.8,15.7,2.1,18.7,2.1,9.8,1.3,10.4,1.6,2.8,0.8,2.3,0.7,42914,2515,60840,3618
"Scotland County, North Carolina",12951,224,12.9,1.5,9,1.4,15,1.7,12,1.8,14.3,1.8,15.4,1.9,10,1.7,7.9,1.2,2,0.7,1.4,0.7,35936,2492,52139,3562
"Stanly County, North Carolina",23849,466,6.1,1.4,5.5,1.1,8.4,1.1,11,1.3,14.6,1.6,20.2,2,14.1,1.6,13.2,1.4,3.9,0.8,3.1,0.8,54104,2023,69698,3249
"Stokes County, North Carolina",19608,353,6,1.5,6,1.5,9.5,1.7,10.8,1.8,15.4,2.3,20.9,2.5,17.6,2.2,9.9,1.7,2.3,0.9,1.7,0.8,51668,1723,64616,5401
"Surry County, North Carolina",29001,478,10,1.4,6,0.9,13.3,1.4,11.5,1.4,12.5,1.5,17.4,1.6,12,1.2,12.2,1.6,2.4,0.5,2.8,0.6,44979,3011,63337,3362
"Swain County, North Carolina",5741,280,8.2,2.7,7.5,2.4,13.4,3.1,10.1,2.5,13.7,2.7,17.9,3.3,11.9,3.6,13.9,3.9,2.2,1.3,1.2,0.8,45554,5868,59506,4880
"Transylvania County, North Carolina",14648,478,7.4,2.2,4.3,1.2,9.3,2,13.8,2.1,14,2.2,17.4,2.7,14.3,2.5,11.1,2.1,4.2,1.5,4.1,1.4,51509,4005,68831,3950
"Tyrrell County, North Carolina",1652,199,6.9,4.4,10.4,5.4,16.8,6.8,12.5,6.8,9.8,5.4,20.4,7,13.2,6,5.4,3.2,3.3,3.5,1.2,1.2,38250,13010,51385,6307
"Union County, North Carolina",77791,574,3.1,0.5,2.5,0.4,5.7,0.6,6.6,0.7,10.9,0.9,16.2,1.1,14.4,1,19,0.9,8.8,0.8,12.7,0.8,82557,2024,111939,3052
"Vance County, North Carolina",16895,425,11.2,2.2,6.8,1.8,13.4,2.2,11.8,2.3,14.9,2.4,17.4,2.3,10.4,1.7,9.5,1.7,2.8,0.8,1.7,0.6,41827,3252,57877,4856
"Wake County, North Carolina",410552,1748,3.2,0.2,2.3,0.2,5.9,0.4,6.8,0.4,10.7,0.4,16.1,0.5,13.4,0.6,18.9,0.6,10.4,0.4,12.3,0.4,83567,1282,110657,1451
"Warren County, North Carolina",8122,294,8.5,1.6,9.9,2.7,16.9,3.2,10.8,2.1,15.2,3,15.6,2.3,8.5,2,9,2,2.7,1,2.8,1.2,37476,2644,57188,4603
"Washington County, North Carolina",5237,277,18,4.4,6.1,2.9,19.7,4.7,9.2,2.8,15.4,3.7,15.5,3.4,10,2.7,3.1,1.7,0.8,0.7,2.2,1.5,30941,5015,48901,10126
"Watauga County, North Carolina",21453,631,12.3,2,5.7,1,9.9,1.8,12,1.9,13,1.9,15.2,1.8,11.2,1.5,11.8,1.5,3.4,1,5.5,1.4,46453,2534,69517,4144
"Wayne County, North Carolina",48198,666,6.8,0.7,6.5,0.9,11.6,1.2,11.9,1.2,15.7,1.3,18.9,1.7,10.9,1.2,11.8,1.1,2.8,0.6,3,0.7,47221,1774,65694,3014
"Wilkes County, North Carolina",28902,590,6.1,1.1,7.1,1.3,14.3,1.9,11.9,1.6,15.7,1.9,19.1,2,11.3,1.4,8.7,1.4,3.2,0.9,2.5,0.6,44980,2049,59842,2862
"Wilson County, North Carolina",31968,491,7.7,1.1,7.8,1.1,13.4,1.7,11.5,1.1,13.9,1.7,17.5,1.7,10.9,1.5,11.2,1.4,3,0.8,3,0.5,44594,1669,61143,2125
"Yadkin County, North Carolina",15247,297,6,1.4,4.1,1.1,14.9,2.3,12,1.7,15.2,2.4,18.2,2,13.5,1.6,9.2,1.5,2.6,0.6,4.3,1.3,46954,3217,63441,3455
"Yancey County, North Carolina",7466,326,9.4,2.3,5.7,1.9,12.1,1.9,11.9,2.3,15,3,20.2,2.8,10.5,1.9,11,2.5,2,0.9,2.3,1,44554,4508,59907,4310
"Adams County, North Dakota",1058,75,7.6,3.9,10,4.9,11.1,4.1,10.6,3.4,11.8,4,15.7,3.8,7.1,2.8,18.8,5.2,4.6,3,2.7,1.7,48750,5699,67736,8408
"Barnes County, North Dakota",5039,144,4.7,1.9,2.5,1.4,11.3,3.1,11.6,2.5,12.3,2.7,18.5,3.1,14.1,2.3,15.7,3.3,5.3,1.5,3.8,1.1,60472,4453,74361,4396
"Benson County, North Dakota",2265,90,17.6,3.2,5.1,1.6,9.2,2.1,6.8,1.7,10.9,1.7,20.6,2.7,10.2,1.8,12.1,2.7,2.6,1.1,4.8,1.9,50329,4123,65111,5162
"Billings County, North Dakota",366,52,3.8,2.2,5.7,5.9,7.1,4.7,5.5,2.9,7.1,4.6,26.2,8.3,7.7,3.7,21,6.9,9.3,5.9,6.6,4.1,64896,9532,96552,18795
"Bottineau County, North Dakota",2876,168,4.3,1.3,3.4,1.4,9.5,2.7,9.7,3,9.2,2.2,21,3.3,10.7,2.7,20.2,2.9,6.3,2.2,5.7,1.9,65074,6436,85239,6147
"Bowman County, North Dakota",1323,80,2.8,1.5,3.3,1.9,7,2.8,8.5,3.7,10.3,3.4,20.9,4.5,18.7,4.6,17.5,4.1,7.4,2.9,3.7,2,70521,5275,84868,6988
"Burke County, North Dakota",950,86,2.7,1.4,4.9,2.3,5.5,1.7,6.5,2.2,10.5,3.1,15.8,4.4,16.8,4,17.4,3.7,9.9,3.8,9.9,3.8,79405,10358,103004,8972
"Burleigh County, North Dakota",39805,501,4.7,0.9,3.6,0.9,5.9,0.7,7.9,1.1,10.1,1.2,19.3,1.6,14.4,1.3,19.3,1.4,8,1.1,6.8,0.8,72974,2392,93101,3078
"Cass County, North Dakota",77027,662,5,0.6,3.6,0.5,8.5,0.9,7.8,0.8,11.9,1.1,19.3,1.2,14.4,1.2,16.2,1.1,6.2,0.7,7.3,0.9,65976,2052,88653,2213
"Cavalier County, North Dakota",1778,108,5.6,3,4.8,2.6,10.3,3.9,6.2,2.5,16,4.5,18.6,4.3,12,3.3,15.5,3.6,2.7,1.3,8.2,2.8,54955,9922,93345,15657
"Dickey County, North Dakota",2127,127,4.7,1.5,3.1,1.5,11.6,3.1,8.1,2.3,10.5,2.6,18.5,3.8,15.1,3.1,18,3.9,4.6,1.9,5.7,2.9,64521,5733,80588,7533
"Divide County, North Dakota",1060,76,7.1,3.7,3.9,2.5,8.7,4,2.1,1.6,15.2,4.9,18.7,6.9,14.3,4.6,16.7,5.8,7,4.5,6.4,1.9,64650,8948,85556,9063
"Dunn County, North Dakota",1700,104,3.4,1.7,5.9,2.3,5.2,1.9,3.9,1.5,12.2,3.3,16,3.6,10.6,3.3,25.1,4.9,7.2,2.7,10.3,2.9,82750,11174,111059,13058
"Eddy County, North Dakota",1046,79,5.8,3.2,3.4,1.4,13.1,4.6,15.1,6.2,11,3,18,4.2,14.1,4.5,11,3,4.1,1.6,4.3,2,52895,6898,72766,9709
"Emmons County, North Dakota",1546,80,7.2,2.2,7.2,3.1,11,3.1,11.3,3.1,12.1,2.7,15.8,3.6,15.4,3.2,11.3,2.6,4.4,1.9,4.3,2.1,51012,5215,68094,6139
"Foster County, North Dakota",1483,79,5.2,3.3,4,2.7,9.3,3.4,10.7,3.2,12.4,3.3,17.3,3.7,10.3,3.4,16.7,4.7,4.1,2,10,4.1,61250,11279,81739,8030
"Golden Valley County, North Dakota",814,63,3.4,2.4,2.6,1.9,9.1,4.2,11.3,6,10.2,4.6,17.8,5.5,14.6,4.8,18.7,5.7,8,3.9,4.3,2.6,72308,10002,84627,13294
"Grand Forks County, North Dakota",30779,425,8.3,1.1,4.7,1,9.2,1.3,11,1.6,13,1.5,16.8,1.5,13,1.2,15.5,1.4,4.5,0.6,4,0.6,53721,1986,72643,2695
"Grant County, North Dakota",1082,69,8.9,3,4.2,1.8,10.1,2.3,11.6,3.1,13.6,3.2,17.6,4.2,13.5,3.5,12.1,2.9,4,1.9,4.6,2,53750,7651,73673,10771
"Griggs County, North Dakota",1031,65,5.1,2.5,3.2,2.4,12.6,4.2,6.8,3.3,17.3,4.5,20.2,4,11.3,3.3,12.2,4.4,3.8,1.8,7.6,3.2,53917,6536,83699,13183
"Hettinger County, North Dakota",1093,91,4.8,2.1,8,2.6,10.5,3.4,9.7,3.1,11.2,2.9,22.5,4.4,9.1,2.3,14.2,4.4,4.5,2.2,5.6,2.4,59750,4699,77638,7987
"Kidder County, North Dakota",1123,82,3.8,1.8,6.1,2.4,11.9,4.4,12.7,4.5,13.9,3.9,21.5,5.3,8.8,3.9,15.2,4,3,1.7,2.9,1.9,52063,8119,68095,7148
"LaMoure County, North Dakota",1869,79,4.4,1.3,6.6,1.9,6.4,2.1,8.6,2.8,12.8,2.4,18.7,3,17,2.9,13.2,3.2,7.7,2.1,4.5,1.3,61477,8034,80446,5795
"Logan County, North Dakota",812,75,6,3.6,5,2.2,6.2,2.3,10.6,3.7,15.8,3.8,22.4,5,13.3,3.1,12.7,3.8,4.3,2.3,3.7,1.9,60592,8685,73822,6878
"McHenry County, North Dakota",2562,99,5.4,1.7,4.3,1.5,11,2.7,6.5,1.6,11.3,2.6,18.7,2.9,15.5,2.7,16.1,2.7,5.7,1.9,5.6,1.9,67039,5005,81045,4967
"McIntosh County, North Dakota",1292,89,6.2,2.2,10.1,3.2,9.5,2.6,7,2.1,16.4,3.8,19.1,4.1,15.6,3.6,9.8,2.4,3.3,2.3,3,1.9,51136,6556,64658,7230
"McKenzie County, North Dakota",4478,304,4.1,1.9,2.9,1.5,7.8,3,5.4,2.1,9.1,2.5,20.6,4.2,11.1,2.9,23.2,5.6,7.5,2.1,8.4,2.9,75238,8321,102768,9220
"McLean County, North Dakota",4372,145,4.8,1.2,2.7,1,5.7,1.4,10.5,1.9,10.7,1.8,18.5,2.2,17.7,2.2,17.3,2.3,7.3,1.3,4.8,1.5,70261,4486,83232,4909
"Mercer County, North Dakota",3663,204,5.2,2.4,4.5,2.4,5.1,2,7.9,2.8,9.6,3.5,13,3.3,15.5,3.1,25.3,4.4,8.6,2.5,5.2,2.2,82087,7145,92464,7861
"Morton County, North Dakota",13502,351,4.5,1.4,3.3,1.4,5.7,1.6,8.3,2,12.4,2.6,17.2,2.5,15.1,2.4,20.1,3.2,8.5,1.8,4.9,1.8,72778,5391,91594,6631
"Mountrail County, North Dakota",3570,140,4.2,1.4,2.2,1,7.9,1.7,8.5,2.4,13.6,2.7,17.2,3.2,11.3,2.4,19.7,3.3,7.8,2.5,7.7,2.1,70412,3430,93628,6566
"Nelson County, North Dakota",1428,95,6,1.6,4.8,2.5,16.2,5.7,10.2,2.9,11.3,3.2,19.2,4.5,13.4,2.7,12.5,2.8,2.7,1.2,3.8,1.7,53063,7520,68017,6902
"Oliver County, North Dakota",743,73,3.2,2.3,4.2,3.6,10.4,4.9,6.3,3,10.4,3.7,17.8,7.3,11,4,20.7,5.3,12.7,4.7,3.4,2,66641,20634,84032,6933
"Pembina County, North Dakota",3169,127,3.8,1.1,7.6,2.1,8.3,1.7,9.1,2.2,11.8,2.9,19.7,3,13.4,2.2,18.4,2.6,4.6,1.3,3.4,1.1,60910,3581,75745,4709
"Pierce County, North Dakota",1843,98,8.1,3.3,10.1,3.6,11.9,3.5,5.4,2.1,7.3,3,20,5.5,14.4,4,15.6,6.3,4.3,2.3,3,2.4,57398,7629,68168,5685
"Ramsey County, North Dakota",4903,214,8.1,3,7.6,3,6.4,2.2,13.1,3.5,10.3,2.9,18.6,3.5,13.3,3,13.7,3.1,4.2,1.6,4.6,1.8,52688,4364,76599,9929
"Ransom County, North Dakota",2380,88,4.7,1.9,2.5,1.3,10.6,3.7,7.6,2.3,13.7,3.8,20.6,3.6,14.8,4,17.6,3.6,5.1,2.1,2.7,1.4,62235,4494,75672,5637
"Renville County, North Dakota",931,64,2.1,2.1,1.6,1.5,4.2,2,7.4,2.9,16.2,5.1,22.7,5.2,11.3,2.9,23.4,5,8.2,3.8,2.9,1.7,69848,3822,84438,6926
"Richland County, North Dakota",6806,229,7.9,2.3,3.4,1.1,10.2,1.8,9.5,2,12,2.1,17.1,2.7,15.6,2,14.7,1.8,5.3,1.1,4.2,1.3,60833,4409,75722,4314
"Rolette County, North Dakota",4402,182,16.4,3.6,3.5,1.2,8.4,1.9,10.9,2.3,12.6,2.9,15.6,3.3,12.8,3.1,13,2.7,4.2,1.6,2.6,1.8,46481,6716,64908,7470
"Sargent County, North Dakota",1897,77,2.6,0.9,3.2,1.3,4.7,1.8,6.2,1.5,17.5,3,23,3.1,16.1,2.6,20.1,3.4,3.4,1.3,3.2,1.2,64564,4160,79461,4369
"Sheridan County, North Dakota",684,49,3.1,2.3,6.6,3.4,9.6,3.7,11.7,4.2,14.2,3.6,22.4,4.8,13.9,3.9,11.3,3.2,3.8,2.8,3.5,2,54250,9824,68466,7413
"Sioux County, North Dakota",1107,39,14.1,3.2,3.8,1.8,12.9,3.1,10.5,3.2,14.6,4.3,17.9,4.3,7.2,2.2,10.4,3.2,2.1,1.1,6.5,3.1,41893,5763,63511,7849
"Slope County, North Dakota",336,37,1.8,1.4,3.3,2.8,11.3,4.8,8.9,4.5,11.9,5.3,20.5,6.9,15.5,5.3,14.9,6,5.4,3,6.5,4.4,65833,7556,82690,12209
"Stark County, North Dakota",12635,323,7.8,1.8,3.2,1.2,7,1.7,5.5,1.4,9.9,2.1,20.6,2.6,11.5,1.7,20.2,2.2,6.6,1.3,7.5,1.5,69412,2810,92314,6017
"Steele County, North Dakota",804,85,5.7,4.2,0.7,1.3,8.2,4,6.7,2.9,8.7,3.3,18.3,5,13.7,4.3,24,5.4,9.6,5.1,4.4,2.5,77167,8503,87787,8880
"Stutsman County, North Dakota",8977,299,8.4,2.6,5.3,2.1,10.1,2.6,9,2,13.9,3.3,17.9,3,16,2.6,12.5,1.9,3.3,0.7,3.6,1,52815,4539,71323,5329
"Towner County, North Dakota",1104,73,5.4,3.3,4.3,2.2,8.9,4.6,20.4,5.3,11.2,4.1,14.5,4.3,13.6,5.3,15.4,6.3,1.1,1.1,5.2,2.7,49464,9550,74419,13138
"Traill County, North Dakota",3394,125,4.2,1.6,4.6,1.8,6.7,1.7,6.5,1.5,13.9,2.4,18.6,2.4,14.6,2.3,21.3,3,6.2,1.5,3.6,1.1,67604,4260,80980,3684
"Walsh County, North Dakota",4820,177,5.4,1.6,4.7,1.4,8.7,1.7,9.5,1.9,15.3,2.5,19.5,3.2,14.4,2,13.1,2.2,4.3,1.3,5.1,1.3,55428,2825,76406,6205
"Ward County, North Dakota",28432,628,4.9,1,3.7,1.1,6.9,1.1,7.7,1.2,12.5,1.7,20,1.9,15.5,1.7,16.2,1.7,7.2,1.1,5.4,1.2,68098,2345,85734,4064
